顧客ID,年齢層,居住地,年収,投資経験,リードソース,Webサイト閲覧深度,セミナー参加,問い合わせからの経過日数,投資目的,希望投資額,検討の時期,過去の接触回数,最終接触からの経過日数,高関心ページ閲覧フラグ,質問レベル,紹介フラグ,アンケート回答フラグ,既存賃貸物件所有フラグ,成約フラグ
A1,50代以上,東京都内,500万~800万,経験あり,紹介,5,0,130,資産形成,2000万~3000万,1年以内,10,59,1,基本,0,0,1,1
A2,40代,東京都内,500万~800万,経験なし,広告,4,0,14,資産形成,3000万~5000万,未定/情報収集,3,5,1,詳細,0,0,0,0
A3,30代,東京都内,1200万~2000万,経験なし,Web資料請求,4,1,44,家賃収入,5000万~,半年以内,4,19,0,基本,0,0,0,1
A4,50代以上,東京都内,800万~1200万,経験あり,Web資料請求,3,0,31,資産形成,2000万~3000万,3ヶ月以内,6,16,0,詳細,0,0,1,1
A5,40代,その他地方,500万~800万,経験あり,Web資料請求,4,0,87,税金対策,5000万~,未定/情報収集,10,4,0,普通,0,0,1,0
A6,50代以上,関東近郊,1200万~2000万,経験あり,セミナー,4,0,24,資産形成,3000万~5000万,未定/情報収集,6,24,0,普通,0,1,0,0
A7,50代以上,東京都内,500万~800万,経験あり,紹介,1,0,13,資産形成,5000万~,3ヶ月以内,2,2,1,普通,0,0,0,1
A8,20代,関東近郊,~500万,経験あり,広告,5,1,112,年金対策,2000万~3000万,3ヶ月以内,7,25,1,普通,0,1,0,1
A9,20代,東京都内,800万~1200万,経験なし,広告,1,0,134,資産形成,3000万~5000万,半年以内,7,58,0,基本,0,1,0,0
A10,50代以上,関東近郊,800万~1200万,経験なし,Web資料請求,4,0,6,資産形成,3000万~5000万,1年以内,4,6,0,普通,0,0,0,0
A11,30代,その他地方,1200万~2000万,経験なし,セミナー,3,0,114,税金対策,3000万~5000万,半年以内,5,4,1,詳細,0,0,0,0
A12,40代,東京都内,1200万~2000万,経験なし,セミナー,3,0,144,税金対策,~2000万,未定/情報収集,6,89,0,基本,1,1,0,1
A13,20代,東京都内,500万~800万,経験なし,セミナー,2,1,172,家賃収入,3000万~5000万,未定/情報収集,9,76,0,基本,0,0,0,0
A14,40代,関東近郊,1200万~2000万,経験あり,Web資料請求,4,0,66,税金対策,2000万~3000万,1年以内,4,57,0,普通,1,1,0,1
A15,50代以上,その他地方,1200万~2000万,経験あり,Web資料請求,1,1,115,資産形成,~2000万,1年以内,5,47,0,基本,0,1,0,0
A16,40代,関東近郊,1200万~2000万,経験あり,Web資料請求,5,1,125,税金対策,3000万~5000万,3ヶ月以内,4,36,0,普通,1,1,0,1
A17,50代以上,東京都内,800万~1200万,経験なし,Web資料請求,4,0,15,資産形成,2000万~3000万,未定/情報収集,5,3,1,普通,0,0,0,0
A18,40代,東京都内,1200万~2000万,経験あり,セミナー,2,0,120,税金対策,~2000万,1年以内,4,53,0,基本,0,1,0,1
A19,40代,東京都内,500万~800万,経験なし,広告,1,0,66,資産形成,3000万~5000万,半年以内,7,48,1,普通,0,0,0,0
A20,30代,その他地方,800万~1200万,経験あり,Web資料請求,3,0,164,家賃収入,5000万~,半年以内,5,18,1,普通,0,1,0,0
A21,30代,東京都内,800万~1200万,経験なし,紹介,3,0,76,その他,2000万~3000万,3ヶ月以内,2,30,0,詳細,0,0,0,0
A22,40代,東京都内,800万~1200万,経験なし,セミナー,2,0,16,税金対策,3000万~5000万,1年以内,10,15,0,基本,0,0,0,0
A23,30代,東京都内,800万~1200万,経験なし,セミナー,3,0,64,年金対策,2000万~3000万,1年以内,9,26,1,基本,0,0,0,1
A24,40代,東京都内,800万~1200万,経験なし,セミナー,1,1,158,家賃収入,2000万~3000万,1年以内,1,4,1,詳細,0,0,0,0
A25,50代以上,東京都内,2000万~,経験なし,広告,1,1,99,家賃収入,3000万~5000万,半年以内,7,29,1,基本,0,0,0,1
A26,40代,関東近郊,1200万~2000万,経験あり,Web資料請求,2,1,137,資産形成,2000万~3000万,1年以内,8,14,1,普通,0,1,0,1
A27,30代,東京都内,800万~1200万,経験あり,Web資料請求,3,1,154,家賃収入,5000万~,3ヶ月以内,10,45,1,詳細,0,1,0,1
A28,30代,関東近郊,500万~800万,経験あり,広告,3,0,63,資産形成,3000万~5000万,半年以内,9,27,0,詳細,0,0,0,1
A29,30代,関東近郊,1200万~2000万,経験なし,セミナー,4,0,167,家賃収入,2000万~3000万,未定/情報収集,6,44,0,普通,0,0,0,1
A30,40代,東京都内,1200万~2000万,経験あり,セミナー,3,0,51,資産形成,~2000万,半年以内,4,28,0,普通,0,0,0,1
A31,30代,東京都内,2000万~,経験あり,紹介,1,0,135,税金対策,~2000万,半年以内,4,32,0,普通,1,1,0,1
A32,20代,東京都内,500万~800万,経験あり,Web資料請求,3,0,17,年金対策,3000万~5000万,3ヶ月以内,6,0,1,普通,0,0,0,0
A33,40代,その他地方,800万~1200万,経験なし,紹介,3,0,44,年金対策,2000万~3000万,未定/情報収集,9,43,1,詳細,0,0,0,0
A34,30代,東京都内,800万~1200万,経験なし,セミナー,3,0,105,年金対策,5000万~,半年以内,9,79,1,普通,0,0,1,1
A35,30代,東京都内,1200万~2000万,経験なし,紹介,4,0,77,家賃収入,2000万~3000万,半年以内,3,27,1,普通,0,1,0,1
A36,40代,東京都内,500万~800万,経験あり,セミナー,5,0,56,税金対策,2000万~3000万,未定/情報収集,5,50,1,普通,1,1,0,1
A37,40代,東京都内,800万~1200万,経験あり,広告,5,0,136,資産形成,3000万~5000万,未定/情報収集,2,7,0,普通,0,0,0,0
A38,50代以上,東京都内,500万~800万,経験あり,セミナー,1,0,34,資産形成,2000万~3000万,半年以内,10,34,0,詳細,0,0,0,1
A39,40代,東京都内,800万~1200万,経験あり,広告,3,0,150,家賃収入,2000万~3000万,1年以内,1,27,1,普通,0,1,0,1
A40,40代,関東近郊,800万~1200万,経験あり,Web資料請求,4,0,78,資産形成,2000万~3000万,半年以内,1,55,1,普通,0,1,0,0
A41,40代,東京都内,1200万~2000万,経験あり,Web資料請求,4,0,30,税金対策,3000万~5000万,3ヶ月以内,9,27,0,詳細,0,0,0,1
A42,50代以上,東京都内,800万~1200万,経験なし,広告,2,1,53,その他,2000万~3000万,半年以内,9,53,0,詳細,0,1,0,1
A43,40代,東京都内,500万~800万,経験なし,広告,2,0,38,資産形成,5000万~,3ヶ月以内,8,2,0,基本,0,1,0,0
A44,50代以上,東京都内,500万~800万,経験あり,広告,2,1,116,家賃収入,3000万~5000万,1年以内,4,32,0,詳細,0,0,0,0
A45,30代,東京都内,500万~800万,経験なし,Web資料請求,1,1,12,家賃収入,3000万~5000万,1年以内,2,5,1,普通,0,0,0,0
A46,30代,東京都内,800万~1200万,経験あり,セミナー,4,0,177,資産形成,~2000万,半年以内,1,26,0,普通,0,1,0,0
A47,40代,東京都内,800万~1200万,経験なし,紹介,3,0,89,家賃収入,3000万~5000万,1年以内,9,15,1,詳細,0,0,0,1
A48,50代以上,東京都内,800万~1200万,経験あり,紹介,3,0,117,資産形成,2000万~3000万,半年以内,4,87,1,基本,0,0,0,1
A49,40代,東京都内,1200万~2000万,経験なし,紹介,3,0,139,その他,2000万~3000万,半年以内,9,84,1,基本,0,1,0,1
A50,40代,東京都内,800万~1200万,経験あり,広告,5,0,71,資産形成,2000万~3000万,未定/情報収集,10,30,0,普通,0,1,0,1
A51,40代,東京都内,1200万~2000万,経験あり,セミナー,1,1,103,資産形成,5000万~,1年以内,1,37,1,詳細,0,1,0,1
A52,40代,東京都内,500万~800万,経験なし,Web資料請求,4,0,15,家賃収入,3000万~5000万,未定/情報収集,3,10,0,基本,0,0,0,1
A53,50代以上,東京都内,1200万~2000万,経験あり,Web資料請求,4,0,106,家賃収入,2000万~3000万,半年以内,10,67,0,普通,0,0,0,0
A54,40代,東京都内,500万~800万,経験あり,広告,1,0,72,資産形成,~2000万,3ヶ月以内,4,63,0,基本,0,1,0,0
A55,40代,東京都内,1200万~2000万,経験なし,紹介,1,0,20,資産形成,5000万~,半年以内,6,1,0,基本,0,0,0,0
A56,30代,東京都内,1200万~2000万,経験なし,Web資料請求,1,0,82,資産形成,3000万~5000万,半年以内,0,59,0,詳細,0,0,0,0
A57,40代,東京都内,500万~800万,経験なし,セミナー,1,0,150,税金対策,2000万~3000万,半年以内,1,6,1,普通,0,0,0,0
A58,50代以上,東京都内,800万~1200万,経験なし,紹介,3,0,24,資産形成,3000万~5000万,3ヶ月以内,6,0,0,普通,0,1,0,1
A59,40代,関東近郊,2000万~,経験なし,広告,2,0,10,家賃収入,2000万~3000万,1年以内,1,3,1,詳細,0,0,0,0
A60,20代,関東近郊,1200万~2000万,経験あり,Web資料請求,1,0,167,資産形成,2000万~3000万,1年以内,0,7,0,基本,0,1,0,0
A61,50代以上,東京都内,1200万~2000万,経験なし,セミナー,1,0,180,税金対策,3000万~5000万,半年以内,2,66,0,普通,0,0,0,0
A62,50代以上,東京都内,~500万,経験なし,広告,2,0,176,資産形成,2000万~3000万,1年以内,1,46,1,基本,0,0,0,0
A63,40代,東京都内,800万~1200万,経験なし,広告,3,0,42,家賃収入,3000万~5000万,半年以内,1,2,0,詳細,0,1,0,0
A64,40代,その他地方,800万~1200万,経験あり,Web資料請求,2,1,172,資産形成,3000万~5000万,未定/情報収集,9,78,0,基本,1,0,0,1
A65,30代,東京都内,~500万,経験あり,広告,5,0,38,資産形成,3000万~5000万,3ヶ月以内,2,20,0,基本,0,0,0,0
A66,40代,関東近郊,500万~800万,経験なし,広告,1,1,55,税金対策,3000万~5000万,未定/情報収集,4,24,1,普通,0,1,0,0
A67,30代,関東近郊,800万~1200万,経験なし,紹介,1,1,62,税金対策,2000万~3000万,1年以内,2,56,0,普通,0,0,0,0
A68,30代,関東近郊,500万~800万,経験なし,セミナー,2,0,164,資産形成,3000万~5000万,3ヶ月以内,9,89,0,基本,0,1,0,0
A69,50代以上,東京都内,2000万~,経験なし,Web資料請求,1,0,171,年金対策,~2000万,3ヶ月以内,1,87,0,普通,0,0,0,0
A70,40代,関東近郊,1200万~2000万,経験なし,広告,4,1,13,家賃収入,5000万~,半年以内,7,4,1,普通,0,0,0,1
A71,40代,その他地方,800万~1200万,経験なし,セミナー,5,0,131,税金対策,~2000万,半年以内,5,32,0,普通,1,0,0,1
A72,50代以上,東京都内,1200万~2000万,経験なし,セミナー,3,0,62,年金対策,~2000万,1年以内,9,38,0,基本,0,0,1,1
A73,40代,東京都内,2000万~,経験あり,広告,4,0,15,資産形成,2000万~3000万,未定/情報収集,7,8,0,普通,0,0,0,1
A74,50代以上,東京都内,500万~800万,経験あり,セミナー,4,1,53,家賃収入,3000万~5000万,半年以内,6,32,0,基本,0,1,0,1
A75,40代,東京都内,~500万,経験なし,紹介,2,0,144,家賃収入,3000万~5000万,半年以内,2,65,0,普通,0,0,0,0
A76,40代,東京都内,1200万~2000万,経験なし,Web資料請求,3,1,47,家賃収入,3000万~5000万,1年以内,10,16,0,基本,0,1,0,1
A77,40代,東京都内,800万~1200万,経験あり,Web資料請求,4,0,15,年金対策,3000万~5000万,1年以内,9,15,1,普通,0,0,0,1
A78,30代,関東近郊,800万~1200万,経験あり,セミナー,4,0,91,資産形成,2000万~3000万,1年以内,10,51,0,基本,0,1,0,1
A79,30代,東京都内,1200万~2000万,経験なし,セミナー,5,0,11,家賃収入,~2000万,3ヶ月以内,2,8,1,詳細,0,1,0,1
A80,50代以上,関東近郊,800万~1200万,経験なし,セミナー,4,1,2,資産形成,~2000万,半年以内,8,2,1,基本,0,1,0,1
A81,40代,関東近郊,800万~1200万,経験あり,紹介,3,0,55,資産形成,3000万~5000万,1年以内,6,52,0,普通,1,1,0,1
A82,30代,東京都内,2000万~,経験あり,Web資料請求,4,1,127,家賃収入,2000万~3000万,未定/情報収集,7,80,0,詳細,0,1,0,1
A83,30代,東京都内,500万~800万,経験あり,Web資料請求,2,0,31,資産形成,~2000万,未定/情報収集,10,27,0,詳細,0,0,0,0
A84,30代,その他地方,500万~800万,経験なし,紹介,3,0,64,資産形成,2000万~3000万,半年以内,9,21,0,普通,0,0,0,0
A85,40代,その他地方,800万~1200万,経験なし,セミナー,5,0,159,資産形成,2000万~3000万,3ヶ月以内,10,90,1,普通,0,1,0,1
A86,50代以上,その他地方,800万~1200万,経験あり,広告,3,0,97,家賃収入,3000万~5000万,半年以内,9,67,1,詳細,0,1,1,1
A87,40代,東京都内,800万~1200万,経験あり,広告,3,0,6,資産形成,3000万~5000万,3ヶ月以内,2,0,1,普通,0,0,0,1
A88,50代以上,その他地方,1200万~2000万,経験あり,広告,1,0,114,資産形成,2000万~3000万,3ヶ月以内,4,73,1,詳細,0,0,0,0
A89,50代以上,東京都内,1200万~2000万,経験あり,Web資料請求,5,1,175,家賃収入,2000万~3000万,1年以内,3,2,1,普通,0,1,0,1
A90,40代,その他地方,800万~1200万,経験なし,広告,4,0,45,資産形成,2000万~3000万,半年以内,8,14,1,詳細,0,0,0,0
A91,50代以上,東京都内,800万~1200万,経験あり,広告,4,1,152,年金対策,2000万~3000万,半年以内,6,47,1,基本,0,0,0,0
A92,40代,関東近郊,800万~1200万,経験なし,Web資料請求,1,0,64,資産形成,5000万~,半年以内,3,21,0,普通,0,1,0,0
A93,40代,東京都内,1200万~2000万,経験なし,セミナー,4,1,153,資産形成,3000万~5000万,半年以内,3,10,0,詳細,0,0,0,1
A94,40代,東京都内,800万~1200万,経験なし,Web資料請求,5,0,8,資産形成,5000万~,1年以内,9,4,0,基本,0,0,0,1
A95,30代,東京都内,500万~800万,経験あり,Web資料請求,5,0,77,資産形成,3000万~5000万,3ヶ月以内,6,75,1,普通,0,0,0,1
A96,50代以上,東京都内,800万~1200万,経験なし,Web資料請求,2,0,42,家賃収入,2000万~3000万,1年以内,6,32,1,詳細,0,1,0,1
A97,50代以上,関東近郊,2000万~,経験なし,紹介,3,0,55,その他,2000万~3000万,1年以内,2,16,1,詳細,0,1,0,1
A98,40代,東京都内,800万~1200万,経験なし,紹介,1,1,97,税金対策,2000万~3000万,半年以内,5,68,1,基本,0,0,0,1
A99,50代以上,東京都内,1200万~2000万,経験あり,セミナー,1,0,145,資産形成,3000万~5000万,1年以内,5,54,0,普通,0,1,0,1
A100,40代,東京都内,2000万~,経験あり,Web資料請求,3,0,94,資産形成,2000万~3000万,1年以内,9,16,0,普通,0,1,0,1
A101,40代,東京都内,1200万~2000万,経験あり,紹介,5,1,114,家賃収入,2000万~3000万,3ヶ月以内,2,31,1,普通,0,0,0,1
A102,40代,関東近郊,800万~1200万,経験なし,Web資料請求,2,0,53,税金対策,2000万~3000万,1年以内,0,18,1,普通,0,0,1,1
A103,50代以上,東京都内,500万~800万,経験なし,Web資料請求,2,0,83,資産形成,3000万~5000万,未定/情報収集,1,46,0,基本,0,0,0,0
A104,40代,その他地方,800万~1200万,経験なし,紹介,5,1,162,税金対策,2000万~3000万,3ヶ月以内,3,26,1,詳細,0,0,0,1
A105,20代,その他地方,800万~1200万,経験あり,広告,4,0,8,家賃収入,3000万~5000万,3ヶ月以内,3,2,0,詳細,0,0,0,0
A106,40代,関東近郊,800万~1200万,経験なし,セミナー,5,0,70,家賃収入,~2000万,未定/情報収集,7,43,0,普通,0,1,0,1
A107,50代以上,関東近郊,800万~1200万,経験あり,Web資料請求,2,0,41,資産形成,~2000万,未定/情報収集,9,6,0,基本,0,0,0,0
A108,50代以上,東京都内,1200万~2000万,経験なし,セミナー,1,0,109,資産形成,2000万~3000万,1年以内,9,21,1,基本,0,0,0,0
A109,20代,東京都内,2000万~,経験なし,広告,5,0,109,資産形成,3000万~5000万,1年以内,0,46,1,詳細,0,0,0,0
A110,40代,関東近郊,~500万,経験あり,Web資料請求,1,0,34,家賃収入,5000万~,1年以内,4,5,0,基本,0,1,0,1
A111,50代以上,東京都内,500万~800万,経験あり,広告,1,0,155,家賃収入,2000万~3000万,1年以内,3,55,1,基本,0,1,1,0
A112,50代以上,東京都内,800万~1200万,経験なし,広告,1,0,49,資産形成,2000万~3000万,3ヶ月以内,0,29,0,基本,0,0,0,0
A113,30代,関東近郊,1200万~2000万,経験あり,セミナー,4,0,82,資産形成,2000万~3000万,未定/情報収集,10,72,0,詳細,0,0,0,1
A114,50代以上,関東近郊,800万~1200万,経験なし,セミナー,1,0,31,資産形成,3000万~5000万,1年以内,5,24,1,普通,0,0,0,0
A115,30代,東京都内,1200万~2000万,経験あり,紹介,3,1,146,資産形成,~2000万,1年以内,5,15,1,基本,0,0,0,1
A116,50代以上,東京都内,1200万~2000万,経験なし,セミナー,1,0,143,年金対策,3000万~5000万,半年以内,3,90,1,基本,0,0,0,0
A117,40代,東京都内,2000万~,経験なし,Web資料請求,5,0,129,資産形成,3000万~5000万,3ヶ月以内,3,58,0,普通,0,0,0,0
A118,40代,東京都内,~500万,経験なし,紹介,1,0,93,資産形成,3000万~5000万,1年以内,0,23,0,普通,0,0,0,0
A119,30代,東京都内,800万~1200万,経験なし,Web資料請求,1,0,147,家賃収入,3000万~5000万,3ヶ月以内,3,12,0,基本,0,0,0,0
A120,50代以上,東京都内,1200万~2000万,経験あり,セミナー,5,0,125,家賃収入,2000万~3000万,3ヶ月以内,10,66,1,基本,0,1,0,1
A121,40代,関東近郊,800万~1200万,経験あり,広告,3,0,28,税金対策,3000万~5000万,半年以内,4,5,0,基本,0,0,0,0
A122,30代,関東近郊,500万~800万,経験なし,Web資料請求,5,0,18,家賃収入,5000万~,半年以内,4,13,1,詳細,0,0,0,0
A123,50代以上,東京都内,500万~800万,経験あり,Web資料請求,3,0,162,年金対策,2000万~3000万,1年以内,0,2,1,基本,1,0,0,0
A124,40代,東京都内,800万~1200万,経験あり,紹介,1,0,6,家賃収入,2000万~3000万,1年以内,9,0,0,普通,0,0,0,1
A125,40代,関東近郊,~500万,経験なし,Web資料請求,2,0,63,資産形成,~2000万,半年以内,9,61,1,普通,0,0,0,0
A126,40代,東京都内,800万~1200万,経験あり,セミナー,3,0,52,資産形成,3000万~5000万,未定/情報収集,9,33,1,詳細,0,0,0,1
A127,50代以上,その他地方,2000万~,経験なし,紹介,2,0,148,資産形成,2000万~3000万,未定/情報収集,8,49,0,基本,0,0,0,0
A128,20代,東京都内,800万~1200万,経験なし,Web資料請求,4,0,20,家賃収入,2000万~3000万,半年以内,0,2,0,詳細,0,1,0,0
A129,50代以上,関東近郊,500万~800万,経験あり,セミナー,2,0,7,資産形成,2000万~3000万,半年以内,10,2,0,普通,1,0,0,1
A130,40代,東京都内,2000万~,経験あり,Web資料請求,2,0,56,税金対策,5000万~,3ヶ月以内,8,34,1,詳細,0,0,0,1
A131,30代,東京都内,800万~1200万,経験なし,紹介,1,0,65,税金対策,2000万~3000万,3ヶ月以内,1,51,0,普通,0,1,0,0
A132,30代,東京都内,2000万~,経験あり,Web資料請求,1,0,172,家賃収入,5000万~,半年以内,5,78,0,詳細,0,1,0,1
A133,50代以上,関東近郊,800万~1200万,経験あり,広告,4,0,53,税金対策,2000万~3000万,半年以内,6,5,0,普通,0,1,0,0
A134,40代,東京都内,500万~800万,経験あり,セミナー,4,0,129,家賃収入,3000万~5000万,1年以内,1,6,1,基本,1,1,0,1
A135,40代,東京都内,1200万~2000万,経験あり,Web資料請求,4,1,90,資産形成,3000万~5000万,未定/情報収集,8,20,1,基本,0,0,0,1
A136,50代以上,東京都内,800万~1200万,経験なし,Web資料請求,2,0,25,家賃収入,5000万~,1年以内,3,17,0,詳細,0,0,0,0
A137,50代以上,関東近郊,1200万~2000万,経験なし,セミナー,4,0,104,家賃収入,2000万~3000万,3ヶ月以内,5,19,0,詳細,0,0,0,0
A138,50代以上,東京都内,2000万~,経験なし,セミナー,4,1,107,資産形成,2000万~3000万,3ヶ月以内,1,29,1,詳細,0,1,0,1
A139,40代,関東近郊,~500万,経験なし,広告,1,1,25,その他,5000万~,1年以内,2,0,1,普通,0,0,0,0
A140,30代,東京都内,1200万~2000万,経験なし,Web資料請求,5,0,0,年金対策,5000万~,1年以内,8,0,0,普通,0,0,0,1
A141,50代以上,関東近郊,2000万~,経験あり,セミナー,2,0,129,年金対策,3000万~5000万,半年以内,5,55,0,基本,0,0,0,1
A142,30代,その他地方,500万~800万,経験なし,紹介,2,0,151,資産形成,5000万~,半年以内,5,37,0,普通,0,0,0,0
A143,40代,東京都内,500万~800万,経験なし,広告,4,0,32,家賃収入,5000万~,3ヶ月以内,3,6,0,普通,0,1,0,1
A144,40代,東京都内,1200万~2000万,経験あり,広告,2,1,89,家賃収入,3000万~5000万,半年以内,0,40,0,普通,1,0,0,1
A145,40代,東京都内,~500万,経験なし,Web資料請求,1,1,3,資産形成,2000万~3000万,未定/情報収集,3,3,1,基本,0,0,0,0
A146,50代以上,その他地方,500万~800万,経験なし,広告,2,0,152,家賃収入,5000万~,1年以内,9,61,1,基本,0,0,0,0
A147,30代,東京都内,500万~800万,経験あり,広告,1,0,92,資産形成,2000万~3000万,1年以内,10,55,1,詳細,0,0,1,1
A148,50代以上,東京都内,2000万~,経験あり,Web資料請求,4,0,122,家賃収入,2000万~3000万,未定/情報収集,6,58,0,基本,0,1,0,1
A149,30代,東京都内,1200万~2000万,経験なし,広告,4,0,113,家賃収入,~2000万,3ヶ月以内,9,18,0,普通,0,1,0,1
A150,40代,関東近郊,~500万,経験なし,紹介,5,0,106,税金対策,3000万~5000万,半年以内,7,26,1,普通,1,1,0,1
A151,40代,東京都内,1200万~2000万,経験なし,Web資料請求,2,0,36,資産形成,3000万~5000万,3ヶ月以内,2,2,0,普通,0,0,0,1
A152,40代,東京都内,1200万~2000万,経験あり,Web資料請求,5,0,74,税金対策,2000万~3000万,未定/情報収集,0,68,0,詳細,0,0,0,0
A153,40代,関東近郊,800万~1200万,経験あり,Web資料請求,5,0,10,資産形成,2000万~3000万,未定/情報収集,10,1,1,普通,0,1,0,1
A154,40代,その他地方,800万~1200万,経験あり,セミナー,4,0,25,資産形成,~2000万,3ヶ月以内,10,6,1,基本,0,1,0,1
A155,50代以上,関東近郊,1200万~2000万,経験あり,紹介,3,0,126,資産形成,~2000万,未定/情報収集,6,58,1,基本,0,0,0,0
A156,40代,関東近郊,1200万~2000万,経験なし,セミナー,5,0,0,家賃収入,~2000万,未定/情報収集,1,0,1,普通,0,0,0,0
A157,30代,東京都内,1200万~2000万,経験あり,セミナー,3,0,87,資産形成,~2000万,1年以内,7,24,1,基本,0,1,0,1
A158,50代以上,東京都内,800万~1200万,経験なし,セミナー,2,0,124,資産形成,~2000万,1年以内,0,34,0,普通,0,0,0,0
A159,40代,東京都内,800万~1200万,経験あり,広告,5,0,56,資産形成,~2000万,1年以内,7,14,0,普通,0,0,0,0
A160,50代以上,その他地方,800万~1200万,経験なし,広告,3,0,123,家賃収入,5000万~,未定/情報収集,6,12,1,詳細,0,0,0,0
A161,30代,関東近郊,800万~1200万,経験なし,セミナー,3,0,111,その他,2000万~3000万,3ヶ月以内,3,58,0,普通,0,0,0,0
A162,40代,東京都内,800万~1200万,経験なし,Web資料請求,5,1,31,資産形成,2000万~3000万,半年以内,9,31,1,普通,0,0,0,1
A163,40代,東京都内,~500万,経験あり,Web資料請求,4,0,30,税金対策,2000万~3000万,1年以内,7,16,0,詳細,0,1,0,1
A164,40代,東京都内,1200万~2000万,経験あり,広告,3,1,52,家賃収入,3000万~5000万,1年以内,9,13,1,基本,0,1,0,1
A165,20代,東京都内,2000万~,経験あり,セミナー,5,1,66,その他,5000万~,1年以内,7,6,1,普通,0,1,0,1
