顧客ID,年齢層,居住地,年収,投資経験,リードソース,Webサイト閲覧深度,セミナー参加,問い合わせからの経過日数,投資目的,希望投資額,検討の時期,過去の接触回数,最終接触からの経過日数,高関心ページ閲覧フラグ,質問レベル,紹介フラグ,アンケート回答フラグ,既存賃貸物件所有フラグ,成約フラグ
A166,50代以上,その他地方,2000万~,経験あり,セミナー,4,0,130,家賃収入,2000万~3000万,未定/情報収集,3,33,1,基本,0,0,0,0
A167,50代以上,関東近郊,~500万,経験なし,Web資料請求,3,0,151,家賃収入,3000万~5000万,未定/情報収集,6,87,0,基本,0,1,0,0
A168,40代,東京都内,1200万~2000万,経験なし,広告,3,1,32,家賃収入,3000万~5000万,3ヶ月以内,5,8,0,普通,0,1,0,1
A169,40代,関東近郊,2000万~,経験なし,Web資料請求,1,1,131,年金対策,3000万~5000万,半年以内,8,14,1,普通,0,1,0,1
A170,30代,東京都内,800万~1200万,経験なし,セミナー,1,1,135,家賃収入,5000万~,未定/情報収集,0,51,0,普通,0,1,0,0
A171,30代,東京都内,800万~1200万,経験なし,Web資料請求,4,0,155,税金対策,2000万~3000万,未定/情報収集,6,22,0,詳細,0,1,0,0
A172,20代,東京都内,800万~1200万,経験あり,紹介,5,0,132,資産形成,2000万~3000万,1年以内,0,76,1,普通,0,0,0,0
A173,40代,東京都内,1200万~2000万,経験なし,Web資料請求,1,0,177,家賃収入,2000万~3000万,1年以内,7,83,0,基本,0,0,0,0
A174,50代以上,関東近郊,500万~800万,経験あり,セミナー,2,0,166,資産形成,~2000万,3ヶ月以内,6,46,1,基本,0,0,0,1
A175,30代,関東近郊,~500万,経験あり,セミナー,1,0,43,資産形成,3000万~5000万,1年以内,9,43,1,基本,0,1,0,1
A176,50代以上,東京都内,500万~800万,経験あり,セミナー,3,0,144,その他,3000万~5000万,1年以内,9,6,0,基本,0,0,0,0
A177,30代,東京都内,800万~1200万,経験なし,広告,2,0,104,家賃収入,2000万~3000万,3ヶ月以内,10,17,1,普通,0,0,0,0
A178,50代以上,関東近郊,1200万~2000万,経験あり,Web資料請求,2,0,3,年金対策,2000万~3000万,半年以内,6,1,0,普通,0,1,0,0
A179,30代,その他地方,800万~1200万,経験あり,セミナー,1,1,131,税金対策,3000万~5000万,未定/情報収集,4,14,0,普通,0,1,0,0
A180,40代,東京都内,1200万~2000万,経験なし,セミナー,5,1,3,資産形成,2000万~3000万,未定/情報収集,0,1,0,詳細,0,0,0,1
A181,50代以上,東京都内,1200万~2000万,経験なし,Web資料請求,5,0,99,資産形成,5000万~,未定/情報収集,2,41,1,詳細,1,1,0,1
A182,50代以上,東京都内,1200万~2000万,経験なし,Web資料請求,4,0,107,資産形成,~2000万,半年以内,0,86,0,普通,0,0,0,0
A183,50代以上,関東近郊,2000万~,経験なし,Web資料請求,5,0,122,資産形成,3000万~5000万,半年以内,2,16,0,詳細,0,0,0,0
A184,50代以上,東京都内,1200万~2000万,経験あり,セミナー,1,0,154,家賃収入,3000万~5000万,未定/情報収集,10,47,1,詳細,1,1,0,1
A185,40代,東京都内,500万~800万,経験なし,紹介,5,0,11,家賃収入,5000万~,1年以内,7,5,1,基本,0,0,0,1
A186,50代以上,その他地方,2000万~,経験なし,紹介,1,0,9,家賃収入,5000万~,未定/情報収集,8,8,1,基本,0,0,0,1
A187,40代,東京都内,500万~800万,経験なし,広告,2,1,109,税金対策,3000万~5000万,1年以内,0,6,0,普通,0,0,0,0
A188,30代,関東近郊,800万~1200万,経験あり,Web資料請求,1,0,177,家賃収入,2000万~3000万,半年以内,6,17,1,基本,0,1,0,0
A189,30代,東京都内,500万~800万,経験なし,Web資料請求,4,0,148,家賃収入,~2000万,3ヶ月以内,3,84,1,普通,0,0,0,0
A190,50代以上,関東近郊,1200万~2000万,経験あり,セミナー,2,0,93,資産形成,3000万~5000万,半年以内,4,69,0,詳細,0,1,0,0
A191,50代以上,東京都内,800万~1200万,経験あり,Web資料請求,5,0,138,税金対策,~2000万,3ヶ月以内,8,31,1,基本,1,0,0,1
A192,30代,関東近郊,800万~1200万,経験あり,セミナー,5,0,16,家賃収入,2000万~3000万,半年以内,8,16,1,普通,0,0,0,1
A193,40代,関東近郊,2000万~,経験あり,広告,5,0,2,家賃収入,2000万~3000万,半年以内,3,1,0,基本,0,1,0,1
A194,40代,東京都内,1200万~2000万,経験あり,紹介,5,0,130,家賃収入,3000万~5000万,未定/情報収集,2,66,0,基本,0,1,0,1
A195,30代,東京都内,800万~1200万,経験なし,Web資料請求,3,1,128,税金対策,3000万~5000万,未定/情報収集,5,51,0,基本,0,1,0,0
A196,30代,その他地方,1200万~2000万,経験あり,セミナー,4,1,22,資産形成,5000万~,半年以内,3,3,1,普通,0,0,0,1
A197,30代,東京都内,800万~1200万,経験あり,紹介,3,0,83,資産形成,~2000万,未定/情報収集,8,72,1,普通,0,1,0,1
A198,20代,東京都内,800万~1200万,経験あり,Web資料請求,4,0,154,資産形成,~2000万,未定/情報収集,1,20,1,詳細,0,1,0,0
A199,30代,東京都内,800万~1200万,経験なし,Web資料請求,3,0,69,年金対策,2000万~3000万,未定/情報収集,7,60,1,詳細,0,1,0,1
A200,40代,関東近郊,800万~1200万,経験なし,広告,5,0,128,資産形成,2000万~3000万,未定/情報収集,6,28,0,詳細,0,1,0,0
A201,30代,東京都内,500万~800万,経験なし,紹介,5,1,174,家賃収入,~2000万,3ヶ月以内,0,79,1,詳細,0,1,0,1
A202,50代以上,関東近郊,500万~800万,経験なし,Web資料請求,5,1,164,税金対策,5000万~,3ヶ月以内,1,17,1,基本,1,0,0,1
A203,40代,東京都内,800万~1200万,経験なし,Web資料請求,5,1,14,税金対策,2000万~3000万,1年以内,4,5,0,普通,0,1,0,1
A204,20代,関東近郊,500万~800万,経験あり,Web資料請求,3,1,142,年金対策,5000万~,半年以内,10,30,1,詳細,0,1,0,1
A205,50代以上,東京都内,500万~800万,経験なし,セミナー,4,0,84,資産形成,2000万~3000万,3ヶ月以内,1,22,1,詳細,0,1,0,0
A206,50代以上,東京都内,800万~1200万,経験なし,Web資料請求,3,0,140,税金対策,5000万~,1年以内,9,23,0,基本,0,1,0,0
A207,40代,その他地方,~500万,経験あり,Web資料請求,4,1,131,資産形成,3000万~5000万,半年以内,10,85,0,基本,0,1,0,0
A208,50代以上,東京都内,2000万~,経験あり,広告,2,0,96,資産形成,2000万~3000万,1年以内,4,28,0,基本,0,1,0,1
A209,40代,その他地方,1200万~2000万,経験あり,Web資料請求,3,0,47,税金対策,2000万~3000万,未定/情報収集,1,1,1,詳細,1,0,0,0
A210,40代,東京都内,~500万,経験あり,Web資料請求,2,1,143,資産形成,2000万~3000万,1年以内,9,64,0,詳細,0,0,0,0
A211,40代,東京都内,~500万,経験なし,セミナー,1,0,146,年金対策,2000万~3000万,半年以内,4,84,1,普通,1,0,0,1
A212,40代,東京都内,800万~1200万,経験なし,広告,3,0,179,資産形成,2000万~3000万,半年以内,3,37,0,詳細,0,1,0,0
A213,40代,東京都内,1200万~2000万,経験なし,紹介,2,0,114,資産形成,5000万~,未定/情報収集,10,69,0,詳細,0,0,0,1
A214,40代,東京都内,800万~1200万,経験あり,紹介,5,0,144,家賃収入,5000万~,半年以内,8,74,0,詳細,0,0,0,1
A215,40代,東京都内,1200万~2000万,経験なし,広告,5,1,126,その他,3000万~5000万,半年以内,5,6,1,普通,1,0,0,1
A216,40代,東京都内,~500万,経験なし,紹介,3,0,173,資産形成,3000万~5000万,未定/情報収集,4,27,1,詳細,0,0,0,0
A217,40代,関東近郊,1200万~2000万,経験なし,広告,2,0,79,資産形成,2000万~3000万,1年以内,9,29,0,詳細,0,0,0,0
A218,40代,東京都内,500万~800万,経験なし,紹介,4,1,40,税金対策,2000万~3000万,3ヶ月以内,10,10,0,普通,0,1,0,1
A219,50代以上,東京都内,1200万~2000万,経験あり,セミナー,2,1,107,資産形成,2000万~3000万,1年以内,10,78,1,詳細,0,0,0,1
A220,30代,東京都内,500万~800万,経験なし,Web資料請求,3,1,88,資産形成,~2000万,未定/情報収集,6,8,0,普通,1,1,0,0
A221,40代,東京都内,800万~1200万,経験なし,セミナー,5,1,56,資産形成,3000万~5000万,3ヶ月以内,6,51,0,普通,0,1,0,1
A222,30代,東京都内,500万~800万,経験なし,セミナー,4,0,77,家賃収入,5000万~,半年以内,3,74,1,基本,1,1,0,1
A223,50代以上,その他地方,800万~1200万,経験なし,セミナー,2,1,68,家賃収入,3000万~5000万,未定/情報収集,5,34,0,基本,0,1,1,0
A224,40代,東京都内,~500万,経験あり,紹介,3,1,93,その他,3000万~5000万,未定/情報収集,4,0,1,基本,0,0,0,1
A225,50代以上,東京都内,500万~800万,経験なし,紹介,4,0,100,資産形成,~2000万,半年以内,8,77,0,基本,0,1,0,1
A226,40代,関東近郊,800万~1200万,経験なし,セミナー,2,0,87,資産形成,3000万~5000万,未定/情報収集,8,78,1,普通,1,0,0,1
A227,50代以上,関東近郊,~500万,経験なし,Web資料請求,4,0,151,資産形成,2000万~3000万,1年以内,6,29,1,普通,0,0,0,0
A228,40代,関東近郊,800万~1200万,経験なし,Web資料請求,3,0,93,資産形成,5000万~,未定/情報収集,1,38,0,普通,0,0,0,0
A229,50代以上,東京都内,500万~800万,経験なし,Web資料請求,4,0,38,資産形成,3000万~5000万,3ヶ月以内,3,28,0,基本,0,0,0,0
A230,50代以上,東京都内,~500万,経験あり,Web資料請求,1,1,94,資産形成,~2000万,1年以内,0,34,0,基本,0,1,0,0
A231,40代,東京都内,~500万,経験あり,紹介,3,0,41,資産形成,3000万~5000万,半年以内,7,7,0,普通,0,0,0,1
A232,50代以上,東京都内,500万~800万,経験なし,広告,3,0,82,資産形成,~2000万,1年以内,5,38,0,詳細,0,0,0,0
A233,30代,関東近郊,500万~800万,経験なし,広告,1,0,154,資産形成,2000万~3000万,未定/情報収集,4,28,1,詳細,0,0,0,0
A234,20代,関東近郊,800万~1200万,経験あり,Web資料請求,1,1,93,税金対策,2000万~3000万,1年以内,2,3,0,普通,0,0,0,0
A235,50代以上,関東近郊,500万~800万,経験あり,広告,1,0,14,年金対策,5000万~,未定/情報収集,6,5,1,普通,0,0,0,0
A236,30代,東京都内,800万~1200万,経験あり,セミナー,4,1,100,資産形成,3000万~5000万,1年以内,5,87,1,詳細,0,0,0,1
A237,40代,東京都内,500万~800万,経験あり,広告,3,0,43,資産形成,2000万~3000万,1年以内,10,28,1,基本,0,1,0,1
A238,40代,関東近郊,500万~800万,経験あり,広告,2,1,44,資産形成,3000万~5000万,半年以内,6,33,1,詳細,0,0,0,1
A239,40代,東京都内,800万~1200万,経験あり,セミナー,1,1,54,家賃収入,5000万~,半年以内,8,39,1,普通,0,0,0,1
A240,20代,東京都内,500万~800万,経験なし,広告,4,0,42,資産形成,~2000万,1年以内,1,14,1,普通,0,0,0,0
A241,50代以上,関東近郊,1200万~2000万,経験なし,Web資料請求,2,0,18,資産形成,5000万~,半年以内,10,10,0,詳細,0,1,0,1
A242,40代,東京都内,800万~1200万,経験あり,Web資料請求,2,1,112,年金対策,2000万~3000万,1年以内,5,70,0,詳細,0,0,1,1
A243,30代,その他地方,~500万,経験なし,紹介,4,1,104,税金対策,~2000万,3ヶ月以内,1,56,0,基本,0,0,0,0
A244,40代,関東近郊,800万~1200万,経験なし,セミナー,3,0,142,資産形成,2000万~3000万,半年以内,0,69,0,普通,0,1,0,0
A245,40代,東京都内,500万~800万,経験なし,広告,5,1,44,税金対策,3000万~5000万,3ヶ月以内,7,15,0,基本,1,0,0,1
A246,40代,東京都内,800万~1200万,経験あり,広告,4,0,179,資産形成,5000万~,半年以内,2,34,0,基本,0,1,0,0
A247,50代以上,関東近郊,800万~1200万,経験あり,広告,2,1,22,家賃収入,3000万~5000万,半年以内,0,6,1,普通,1,1,1,1
A248,50代以上,東京都内,2000万~,経験なし,セミナー,5,1,15,家賃収入,2000万~3000万,1年以内,3,13,0,詳細,0,1,0,1
A249,50代以上,東京都内,500万~800万,経験あり,セミナー,4,0,25,資産形成,5000万~,半年以内,8,13,0,基本,0,0,0,0
A250,40代,東京都内,800万~1200万,経験なし,セミナー,4,0,156,資産形成,~2000万,未定/情報収集,0,50,1,基本,1,0,0,0
A251,40代,東京都内,800万~1200万,経験なし,セミナー,2,0,164,年金対策,3000万~5000万,1年以内,2,29,0,普通,0,0,0,0
A252,50代以上,東京都内,500万~800万,経験なし,紹介,2,0,42,税金対策,5000万~,3ヶ月以内,6,25,0,普通,0,0,0,0
A253,40代,関東近郊,~500万,経験あり,セミナー,4,1,157,資産形成,2000万~3000万,半年以内,6,78,0,基本,0,1,0,0
A254,40代,東京都内,1200万~2000万,経験あり,Web資料請求,4,0,179,資産形成,2000万~3000万,1年以内,3,70,0,詳細,0,0,0,0
A255,30代,東京都内,800万~1200万,経験あり,広告,2,0,64,家賃収入,3000万~5000万,1年以内,7,58,1,普通,0,1,0,0
A256,30代,その他地方,800万~1200万,経験なし,広告,1,0,65,資産形成,~2000万,3ヶ月以内,5,48,0,普通,0,0,0,0
A257,40代,関東近郊,800万~1200万,経験なし,Web資料請求,1,0,83,税金対策,2000万~3000万,3ヶ月以内,5,63,1,詳細,0,0,0,0
A258,50代以上,東京都内,~500万,経験なし,Web資料請求,2,1,43,年金対策,3000万~5000万,1年以内,8,20,1,基本,0,1,0,0
A259,50代以上,その他地方,1200万~2000万,経験なし,セミナー,5,0,125,家賃収入,2000万~3000万,半年以内,6,46,0,詳細,0,1,0,1
A260,40代,東京都内,500万~800万,経験なし,広告,5,1,168,資産形成,3000万~5000万,1年以内,1,33,0,普通,0,1,0,0
A261,50代以上,東京都内,1200万~2000万,経験なし,広告,5,0,110,資産形成,5000万~,1年以内,2,15,0,基本,0,0,0,1
A262,30代,東京都内,1200万~2000万,経験なし,Web資料請求,3,0,146,資産形成,5000万~,3ヶ月以内,10,38,0,普通,0,1,0,1
A263,20代,その他地方,~500万,経験あり,Web資料請求,3,0,14,資産形成,3000万~5000万,1年以内,9,4,0,普通,0,1,0,0
A264,50代以上,東京都内,500万~800万,経験あり,広告,2,1,88,家賃収入,2000万~3000万,半年以内,5,78,0,普通,0,1,0,0
A265,50代以上,東京都内,1200万~2000万,経験なし,広告,1,0,60,家賃収入,2000万~3000万,1年以内,10,38,1,普通,0,0,0,0
A266,40代,東京都内,500万~800万,経験なし,紹介,2,0,24,年金対策,2000万~3000万,半年以内,1,0,0,基本,0,1,0,0
A267,30代,関東近郊,800万~1200万,経験なし,紹介,4,0,4,家賃収入,3000万~5000万,未定/情報収集,3,0,1,基本,1,1,0,1
A268,50代以上,その他地方,~500万,経験あり,広告,5,0,5,税金対策,2000万~3000万,3ヶ月以内,0,2,1,詳細,0,1,0,0
A269,30代,東京都内,500万~800万,経験なし,Web資料請求,4,1,29,資産形成,2000万~3000万,3ヶ月以内,0,6,0,普通,0,0,0,0
A270,50代以上,東京都内,1200万~2000万,経験あり,Web資料請求,2,0,2,家賃収入,~2000万,1年以内,5,1,1,基本,0,0,0,1
A271,40代,東京都内,800万~1200万,経験なし,Web資料請求,3,0,152,資産形成,2000万~3000万,半年以内,8,76,1,基本,0,1,0,0
A272,20代,その他地方,500万~800万,経験あり,紹介,3,0,24,税金対策,~2000万,半年以内,5,11,0,普通,0,1,0,0
A273,30代,東京都内,~500万,経験あり,Web資料請求,3,0,100,資産形成,3000万~5000万,半年以内,5,79,1,詳細,0,1,0,1
A274,40代,その他地方,800万~1200万,経験なし,セミナー,5,0,84,家賃収入,3000万~5000万,1年以内,4,62,0,普通,0,0,0,0
A275,30代,関東近郊,800万~1200万,経験なし,広告,4,1,7,家賃収入,5000万~,未定/情報収集,4,0,1,詳細,0,0,0,1
A276,50代以上,その他地方,2000万~,経験あり,セミナー,3,0,82,家賃収入,3000万~5000万,未定/情報収集,10,48,1,詳細,0,0,0,1
A277,30代,東京都内,800万~1200万,経験あり,広告,1,1,104,資産形成,~2000万,半年以内,2,84,0,基本,0,1,0,0
A278,30代,東京都内,1200万~2000万,経験あり,Web資料請求,4,1,172,資産形成,2000万~3000万,3ヶ月以内,1,46,0,詳細,1,0,0,1
A279,30代,その他地方,500万~800万,経験なし,セミナー,5,0,79,資産形成,2000万~3000万,未定/情報収集,2,13,1,詳細,0,0,0,0
A280,40代,東京都内,1200万~2000万,経験なし,広告,5,0,64,家賃収入,2000万~3000万,1年以内,6,47,0,詳細,0,0,0,1
A281,30代,東京都内,500万~800万,経験なし,Web資料請求,5,1,178,資産形成,2000万~3000万,3ヶ月以内,1,65,0,普通,0,0,0,0
A282,50代以上,東京都内,1200万~2000万,経験なし,セミナー,2,0,129,家賃収入,5000万~,1年以内,0,36,1,詳細,0,1,0,1
A283,40代,東京都内,500万~800万,経験あり,広告,1,1,179,税金対策,2000万~3000万,1年以内,0,78,0,基本,0,0,0,0
A284,50代以上,関東近郊,~500万,経験なし,Web資料請求,3,0,176,資産形成,3000万~5000万,未定/情報収集,4,74,0,普通,0,1,0,0
A285,50代以上,東京都内,800万~1200万,経験あり,Web資料請求,2,1,180,その他,~2000万,半年以内,4,35,0,詳細,0,1,0,0
A286,50代以上,関東近郊,~500万,経験なし,Web資料請求,1,0,37,家賃収入,2000万~3000万,3ヶ月以内,0,5,0,普通,0,1,0,0
A287,50代以上,関東近郊,~500万,経験なし,セミナー,2,0,51,家賃収入,2000万~3000万,半年以内,8,10,0,基本,0,1,0,0
A288,50代以上,その他地方,1200万~2000万,経験あり,紹介,3,0,112,資産形成,~2000万,1年以内,2,62,0,基本,0,0,0,0
A289,30代,その他地方,500万~800万,経験あり,広告,1,0,66,税金対策,2000万~3000万,3ヶ月以内,2,47,1,基本,0,0,0,0
A290,50代以上,その他地方,500万~800万,経験あり,広告,4,1,161,税金対策,2000万~3000万,3ヶ月以内,4,25,1,基本,0,1,1,1
A291,30代,東京都内,500万~800万,経験あり,広告,5,0,128,資産形成,3000万~5000万,3ヶ月以内,3,11,1,普通,0,0,0,0
A292,40代,東京都内,500万~800万,経験なし,広告,2,0,116,税金対策,3000万~5000万,1年以内,4,68,1,普通,0,1,0,0
A293,50代以上,その他地方,500万~800万,経験あり,広告,2,0,55,年金対策,2000万~3000万,未定/情報収集,9,30,0,普通,0,0,0,0
A294,40代,東京都内,1200万~2000万,経験なし,広告,4,1,20,その他,~2000万,未定/情報収集,3,13,0,普通,0,0,0,0
A295,50代以上,東京都内,1200万~2000万,経験なし,Web資料請求,4,0,22,資産形成,3000万~5000万,3ヶ月以内,8,1,0,普通,0,1,0,1
A296,20代,その他地方,800万~1200万,経験なし,紹介,1,0,51,家賃収入,3000万~5000万,半年以内,0,14,0,普通,0,0,0,0
A297,40代,関東近郊,1200万~2000万,経験あり,Web資料請求,5,0,32,資産形成,~2000万,1年以内,8,32,1,基本,0,1,0,1
A298,30代,東京都内,2000万~,経験なし,Web資料請求,1,0,116,家賃収入,3000万~5000万,3ヶ月以内,3,3,0,普通,0,0,0,1
A299,50代以上,関東近郊,2000万~,経験なし,Web資料請求,3,0,21,家賃収入,2000万~3000万,半年以内,7,14,0,詳細,0,0,0,0
A300,20代,東京都内,500万~800万,経験あり,広告,2,1,145,家賃収入,3000万~5000万,3ヶ月以内,5,54,0,基本,0,0,0,0
A301,30代,東京都内,800万~1200万,経験なし,Web資料請求,5,0,57,年金対策,2000万~3000万,3ヶ月以内,1,57,0,基本,0,0,0,0
A302,30代,関東近郊,2000万~,経験あり,Web資料請求,5,0,107,家賃収入,3000万~5000万,3ヶ月以内,4,84,0,基本,0,1,0,1
A303,40代,東京都内,800万~1200万,経験あり,セミナー,2,0,55,税金対策,3000万~5000万,1年以内,9,52,1,詳細,0,1,1,1
A304,30代,東京都内,800万~1200万,経験なし,Web資料請求,4,0,134,家賃収入,2000万~3000万,3ヶ月以内,6,29,1,基本,0,1,0,0
A305,50代以上,東京都内,~500万,経験なし,Web資料請求,4,0,67,資産形成,2000万~3000万,半年以内,8,54,0,詳細,0,0,0,0
A306,20代,東京都内,500万~800万,経験あり,紹介,4,0,119,その他,2000万~3000万,未定/情報収集,7,13,0,普通,0,0,0,0
A307,40代,その他地方,1200万~2000万,経験なし,広告,2,1,156,家賃収入,5000万~,1年以内,8,69,1,普通,0,1,0,0
A308,40代,その他地方,~500万,経験なし,Web資料請求,5,1,50,家賃収入,2000万~3000万,半年以内,9,10,0,普通,0,0,0,0
A309,30代,東京都内,800万~1200万,経験なし,Web資料請求,2,0,69,年金対策,3000万~5000万,未定/情報収集,9,52,1,基本,0,0,0,0
A310,40代,東京都内,800万~1200万,経験あり,Web資料請求,1,0,93,年金対策,3000万~5000万,半年以内,4,42,1,基本,0,1,0,0
A311,30代,その他地方,800万~1200万,経験なし,広告,2,1,5,資産形成,2000万~3000万,1年以内,4,5,1,詳細,0,0,0,1
A312,50代以上,その他地方,800万~1200万,経験なし,Web資料請求,4,1,140,資産形成,3000万~5000万,3ヶ月以内,9,53,0,基本,0,1,0,1
A313,20代,東京都内,800万~1200万,経験あり,セミナー,5,1,18,税金対策,5000万~,3ヶ月以内,3,1,1,普通,0,0,0,1
A314,40代,東京都内,800万~1200万,経験あり,紹介,5,0,20,年金対策,3000万~5000万,半年以内,8,7,0,普通,0,1,0,1
A315,40代,東京都内,1200万~2000万,経験あり,Web資料請求,4,0,179,家賃収入,~2000万,1年以内,9,19,0,基本,0,0,0,0
A316,30代,東京都内,500万~800万,経験なし,紹介,4,0,106,資産形成,3000万~5000万,半年以内,3,25,0,普通,0,0,0,0
A317,20代,東京都内,800万~1200万,経験あり,広告,5,0,11,年金対策,5000万~,半年以内,2,7,1,普通,0,1,0,0
A318,50代以上,東京都内,~500万,経験なし,Web資料請求,2,0,17,家賃収入,2000万~3000万,1年以内,1,7,0,普通,0,1,0,0
A319,50代以上,関東近郊,800万~1200万,経験なし,Web資料請求,1,0,81,家賃収入,2000万~3000万,3ヶ月以内,8,44,1,普通,0,0,0,0
A320,40代,関東近郊,1200万~2000万,経験あり,Web資料請求,2,0,96,資産形成,5000万~,3ヶ月以内,10,31,1,普通,0,0,1,1
A321,30代,関東近郊,800万~1200万,経験あり,広告,1,0,11,家賃収入,2000万~3000万,未定/情報収集,2,9,0,基本,0,1,0,0
A322,40代,東京都内,500万~800万,経験あり,広告,4,1,156,家賃収入,3000万~5000万,半年以内,8,22,0,普通,0,0,0,1
A323,40代,東京都内,800万~1200万,経験あり,広告,4,0,108,税金対策,3000万~5000万,未定/情報収集,7,61,0,普通,1,1,0,1
A324,40代,東京都内,~500万,経験あり,広告,3,1,159,資産形成,3000万~5000万,3ヶ月以内,7,2,0,普通,0,0,0,1
A325,50代以上,東京都内,500万~800万,経験なし,セミナー,3,0,47,税金対策,5000万~,未定/情報収集,10,0,0,普通,0,0,0,0
A326,30代,東京都内,800万~1200万,経験あり,セミナー,5,0,142,年金対策,2000万~3000万,未定/情報収集,10,31,1,詳細,0,1,0,1
A327,50代以上,東京都内,~500万,経験なし,紹介,5,1,98,家賃収入,~2000万,3ヶ月以内,10,52,1,普通,0,0,0,1
A328,30代,関東近郊,800万~1200万,経験なし,セミナー,5,1,52,資産形成,~2000万,半年以内,0,41,1,普通,0,0,0,1
A329,30代,東京都内,500万~800万,経験なし,広告,2,0,158,資産形成,~2000万,1年以内,0,59,0,基本,0,0,0,0
A330,30代,東京都内,2000万~,経験なし,セミナー,4,0,31,税金対策,5000万~,1年以内,8,22,1,普通,0,0,0,1
A331,40代,その他地方,~500万,経験なし,Web資料請求,1,1,64,資産形成,2000万~3000万,半年以内,8,64,1,詳細,1,0,0,0
