顧客ID,年齢層,居住地,年収,投資経験,リードソース,Webサイト閲覧深度,セミナー参加,問い合わせからの経過日数,投資目的,希望投資額,検討の時期,過去の接触回数,最終接触からの経過日数,高関心ページ閲覧フラグ,質問レベル,紹介フラグ,アンケート回答フラグ,既存賃貸物件所有フラグ,成約フラグ
A332,50代以上,東京都内,500万~800万,経験なし,Web資料請求,2,1,100,家賃収入,2000万~3000万,未定/情報収集,8,90,0,普通,0,0,0,0
A333,40代,東京都内,800万~1200万,経験なし,広告,2,0,15,家賃収入,2000万~3000万,未定/情報収集,3,11,1,基本,1,1,0,1
A334,40代,東京都内,800万~1200万,経験なし,Web資料請求,3,0,72,家賃収入,2000万~3000万,未定/情報収集,2,37,1,基本,0,1,0,0
A335,40代,関東近郊,800万~1200万,経験あり,広告,1,1,47,資産形成,2000万~3000万,半年以内,9,41,1,普通,0,0,0,0
A336,40代,東京都内,500万~800万,経験なし,セミナー,3,0,129,家賃収入,3000万~5000万,1年以内,10,34,0,普通,0,1,0,1
A337,40代,東京都内,2000万~,経験なし,セミナー,1,1,109,資産形成,2000万~3000万,半年以内,4,39,1,基本,1,1,0,1
A338,50代以上,関東近郊,500万~800万,経験あり,広告,5,0,58,家賃収入,5000万~,半年以内,0,33,1,詳細,0,1,0,1
A339,30代,関東近郊,1200万~2000万,経験なし,Web資料請求,1,1,33,税金対策,3000万~5000万,1年以内,8,27,0,基本,0,0,0,0
A340,30代,東京都内,1200万~2000万,経験あり,広告,1,0,6,家賃収入,3000万~5000万,1年以内,9,6,0,普通,0,1,0,1
A341,20代,その他地方,800万~1200万,経験なし,セミナー,2,0,30,家賃収入,5000万~,半年以内,7,27,1,普通,0,1,0,1
A342,40代,関東近郊,1200万~2000万,経験あり,紹介,5,1,87,税金対策,3000万~5000万,1年以内,4,59,0,詳細,0,1,0,1
A343,50代以上,東京都内,800万~1200万,経験あり,セミナー,3,0,104,家賃収入,2000万~3000万,未定/情報収集,0,46,0,基本,0,0,0,0
A344,40代,東京都内,800万~1200万,経験あり,紹介,3,0,18,税金対策,5000万~,半年以内,5,16,0,普通,1,0,0,1
A345,50代以上,その他地方,500万~800万,経験なし,広告,2,0,41,家賃収入,2000万~3000万,未定/情報収集,1,2,0,普通,0,0,0,0
A346,30代,関東近郊,500万~800万,経験なし,セミナー,1,0,163,家賃収入,2000万~3000万,未定/情報収集,0,12,0,普通,0,0,0,0
A347,20代,その他地方,800万~1200万,経験なし,Web資料請求,5,0,21,その他,2000万~3000万,未定/情報収集,8,15,0,基本,0,0,0,0
A348,40代,東京都内,1200万~2000万,経験なし,セミナー,1,1,109,資産形成,5000万~,未定/情報収集,6,56,0,普通,1,1,0,1
A349,30代,関東近郊,2000万~,経験なし,セミナー,5,0,134,資産形成,3000万~5000万,未定/情報収集,1,8,0,基本,0,0,1,1
A350,20代,東京都内,800万~1200万,経験あり,紹介,4,0,131,家賃収入,~2000万,半年以内,10,39,0,詳細,0,0,0,0
A351,40代,関東近郊,800万~1200万,経験あり,紹介,2,0,76,資産形成,3000万~5000万,未定/情報収集,10,44,0,基本,0,0,0,0
A352,50代以上,その他地方,800万~1200万,経験なし,セミナー,2,1,7,資産形成,3000万~5000万,3ヶ月以内,1,0,1,普通,0,0,0,1
A353,30代,東京都内,500万~800万,経験あり,広告,4,1,36,家賃収入,3000万~5000万,半年以内,10,15,1,詳細,0,1,0,1
A354,50代以上,関東近郊,500万~800万,経験なし,広告,1,0,21,家賃収入,3000万~5000万,1年以内,7,15,1,普通,0,1,0,0
A355,40代,関東近郊,2000万~,経験あり,広告,1,0,75,家賃収入,5000万~,半年以内,7,73,0,基本,1,1,0,1
A356,30代,東京都内,1200万~2000万,経験あり,紹介,4,0,14,資産形成,3000万~5000万,1年以内,8,9,0,詳細,0,1,0,1
A357,50代以上,東京都内,500万~800万,経験あり,セミナー,1,1,160,家賃収入,2000万~3000万,未定/情報収集,3,45,1,基本,0,1,0,1
A358,40代,東京都内,2000万~,経験なし,Web資料請求,2,0,125,家賃収入,2000万~3000万,1年以内,1,51,1,詳細,0,0,0,0
A359,40代,その他地方,800万~1200万,経験あり,Web資料請求,4,0,107,資産形成,2000万~3000万,半年以内,9,44,0,基本,0,0,0,0
A360,40代,東京都内,~500万,経験なし,広告,1,0,30,資産形成,5000万~,半年以内,7,24,1,普通,0,0,0,0
A361,30代,東京都内,800万~1200万,経験なし,セミナー,1,0,68,資産形成,~2000万,半年以内,3,4,1,普通,1,1,0,1
A362,30代,関東近郊,800万~1200万,経験なし,Web資料請求,5,0,166,家賃収入,2000万~3000万,未定/情報収集,3,8,0,詳細,0,1,0,0
A363,30代,関東近郊,500万~800万,経験あり,セミナー,1,0,32,資産形成,2000万~3000万,1年以内,9,5,1,詳細,0,1,0,0
A364,50代以上,関東近郊,500万~800万,経験なし,Web資料請求,2,0,125,家賃収入,~2000万,半年以内,9,32,1,詳細,0,0,0,0
A365,40代,東京都内,800万~1200万,経験あり,紹介,2,0,32,家賃収入,2000万~3000万,1年以内,8,22,0,基本,0,0,0,1
A366,40代,その他地方,1200万~2000万,経験なし,広告,2,1,114,年金対策,~2000万,3ヶ月以内,3,31,0,基本,0,1,0,0
A367,50代以上,東京都内,800万~1200万,経験なし,紹介,1,0,146,資産形成,3000万~5000万,1年以内,6,76,1,基本,0,0,0,1
A368,50代以上,東京都内,800万~1200万,経験なし,広告,4,0,133,資産形成,~2000万,3ヶ月以内,4,42,0,基本,0,1,0,0
A369,40代,その他地方,800万~1200万,経験あり,Web資料請求,3,1,77,家賃収入,~2000万,半年以内,1,58,1,基本,0,1,0,0
A370,40代,東京都内,500万~800万,経験なし,Web資料請求,5,0,38,家賃収入,3000万~5000万,3ヶ月以内,4,15,0,普通,0,1,0,1
A371,40代,関東近郊,800万~1200万,経験あり,紹介,4,1,154,資産形成,2000万~3000万,1年以内,9,2,0,基本,0,0,0,1
A372,40代,関東近郊,800万~1200万,経験なし,紹介,1,1,144,税金対策,2000万~3000万,1年以内,0,71,0,基本,0,0,0,0
A373,50代以上,東京都内,~500万,経験なし,紹介,3,0,66,資産形成,3000万~5000万,1年以内,4,8,1,基本,1,0,0,1
A374,30代,関東近郊,800万~1200万,経験あり,広告,1,0,79,年金対策,~2000万,3ヶ月以内,0,10,0,普通,0,0,0,0
A375,30代,東京都内,1200万~2000万,経験なし,セミナー,4,1,93,資産形成,~2000万,半年以内,6,32,0,普通,0,0,0,1
A376,40代,その他地方,500万~800万,経験なし,Web資料請求,3,0,105,家賃収入,2000万~3000万,1年以内,4,71,1,詳細,0,0,0,0
A377,40代,東京都内,1200万~2000万,経験あり,紹介,2,0,95,資産形成,5000万~,半年以内,1,63,0,詳細,0,1,0,1
A378,40代,東京都内,800万~1200万,経験あり,セミナー,3,0,16,資産形成,3000万~5000万,半年以内,9,9,0,基本,0,1,0,1
A379,40代,東京都内,500万~800万,経験あり,紹介,5,1,56,資産形成,~2000万,1年以内,1,25,0,基本,0,0,0,1
A380,30代,東京都内,1200万~2000万,経験あり,広告,2,0,55,資産形成,2000万~3000万,半年以内,10,41,1,普通,1,0,0,1
A381,40代,東京都内,500万~800万,経験あり,セミナー,1,0,1,家賃収入,2000万~3000万,1年以内,1,0,1,詳細,0,0,0,0
A382,40代,東京都内,1200万~2000万,経験なし,紹介,4,0,128,税金対策,~2000万,半年以内,4,42,0,基本,0,0,0,1
A383,50代以上,関東近郊,500万~800万,経験なし,広告,2,1,106,税金対策,3000万~5000万,半年以内,9,30,0,普通,0,0,0,0
A384,40代,関東近郊,800万~1200万,経験なし,セミナー,4,1,0,資産形成,5000万~,半年以内,10,0,0,普通,0,1,0,1
A385,30代,東京都内,500万~800万,経験あり,紹介,5,0,179,資産形成,3000万~5000万,半年以内,3,9,0,普通,0,1,0,1
A386,40代,関東近郊,800万~1200万,経験なし,広告,2,0,48,家賃収入,2000万~3000万,3ヶ月以内,2,25,0,普通,0,0,1,1
A387,20代,東京都内,1200万~2000万,経験なし,紹介,4,0,65,年金対策,3000万~5000万,半年以内,3,21,1,普通,0,0,0,1
A388,40代,東京都内,500万~800万,経験なし,Web資料請求,2,1,72,家賃収入,2000万~3000万,未定/情報収集,6,59,0,普通,0,1,0,0
A389,30代,東京都内,1200万~2000万,経験なし,広告,4,1,97,資産形成,3000万~5000万,1年以内,2,15,0,普通,0,1,0,1
A390,30代,東京都内,2000万~,経験あり,Web資料請求,5,1,122,資産形成,2000万~3000万,半年以内,3,9,0,基本,0,0,0,0
A391,40代,東京都内,1200万~2000万,経験なし,紹介,4,0,110,資産形成,5000万~,1年以内,1,66,1,普通,0,0,0,0
A392,30代,関東近郊,1200万~2000万,経験あり,広告,2,0,81,年金対策,3000万~5000万,1年以内,3,30,1,詳細,1,0,0,1
A393,40代,関東近郊,500万~800万,経験あり,Web資料請求,4,0,164,家賃収入,2000万~3000万,3ヶ月以内,3,33,1,普通,0,0,0,0
A394,40代,東京都内,800万~1200万,経験なし,Web資料請求,3,1,10,家賃収入,3000万~5000万,1年以内,7,1,1,普通,0,0,0,1
A395,40代,東京都内,500万~800万,経験あり,Web資料請求,3,0,60,資産形成,~2000万,1年以内,6,41,0,普通,0,1,0,0
A396,30代,関東近郊,1200万~2000万,経験あり,広告,5,0,80,資産形成,2000万~3000万,3ヶ月以内,9,73,1,基本,0,0,0,1
A397,50代以上,関東近郊,800万~1200万,経験なし,セミナー,3,0,49,家賃収入,~2000万,1年以内,7,29,0,詳細,0,0,0,0
A398,20代,関東近郊,800万~1200万,経験なし,Web資料請求,1,0,119,資産形成,2000万~3000万,1年以内,3,29,1,基本,1,1,0,0
A399,40代,関東近郊,500万~800万,経験なし,セミナー,4,0,169,年金対策,2000万~3000万,3ヶ月以内,4,60,1,詳細,1,0,0,1
A400,30代,その他地方,500万~800万,経験あり,セミナー,2,1,115,資産形成,2000万~3000万,未定/情報収集,0,30,0,普通,1,0,0,0
A401,20代,東京都内,1200万~2000万,経験なし,Web資料請求,2,0,143,資産形成,3000万~5000万,未定/情報収集,0,24,0,詳細,0,1,0,0
A402,50代以上,その他地方,800万~1200万,経験なし,広告,2,1,57,家賃収入,3000万~5000万,1年以内,8,21,0,普通,0,0,0,0
A403,50代以上,関東近郊,800万~1200万,経験あり,Web資料請求,3,1,28,家賃収入,2000万~3000万,3ヶ月以内,0,20,0,基本,0,1,0,0
A404,30代,その他地方,500万~800万,経験なし,広告,1,1,142,資産形成,3000万~5000万,1年以内,5,61,0,基本,1,0,0,0
A405,40代,東京都内,500万~800万,経験あり,Web資料請求,5,0,179,資産形成,5000万~,3ヶ月以内,1,26,0,基本,0,0,0,0
A406,30代,東京都内,500万~800万,経験あり,Web資料請求,2,0,151,資産形成,2000万~3000万,3ヶ月以内,10,45,0,基本,0,0,0,0
A407,40代,東京都内,800万~1200万,経験なし,紹介,2,1,32,資産形成,~2000万,未定/情報収集,8,11,0,基本,0,0,0,1
A408,20代,東京都内,500万~800万,経験あり,Web資料請求,5,1,125,年金対策,2000万~3000万,3ヶ月以内,10,72,0,普通,0,1,0,1
A409,40代,その他地方,800万~1200万,経験なし,広告,1,1,42,年金対策,2000万~3000万,1年以内,6,31,0,詳細,0,0,0,0
A410,40代,東京都内,500万~800万,経験なし,Web資料請求,1,0,36,税金対策,~2000万,1年以内,3,26,0,詳細,0,1,0,0
A411,20代,東京都内,1200万~2000万,経験なし,広告,2,0,166,資産形成,3000万~5000万,1年以内,7,56,1,基本,0,1,0,0
A412,30代,関東近郊,500万~800万,経験なし,セミナー,4,0,32,年金対策,2000万~3000万,1年以内,10,30,0,詳細,0,0,0,1
A413,50代以上,関東近郊,1200万~2000万,経験なし,セミナー,5,0,147,家賃収入,2000万~3000万,半年以内,2,8,0,普通,0,0,0,0
A414,30代,東京都内,1200万~2000万,経験あり,Web資料請求,3,1,165,資産形成,2000万~3000万,3ヶ月以内,4,27,0,詳細,0,0,0,1
A415,40代,東京都内,500万~800万,経験あり,Web資料請求,3,0,168,税金対策,2000万~3000万,1年以内,2,20,1,詳細,0,0,0,0
A416,40代,関東近郊,1200万~2000万,経験なし,Web資料請求,2,0,77,資産形成,2000万~3000万,1年以内,5,4,0,詳細,0,0,0,1
A417,40代,関東近郊,800万~1200万,経験あり,紹介,1,0,122,その他,3000万~5000万,未定/情報収集,5,45,1,詳細,0,1,0,1
A418,30代,東京都内,500万~800万,経験なし,セミナー,2,0,34,資産形成,2000万~3000万,半年以内,9,31,0,普通,0,0,0,0
A419,40代,東京都内,800万~1200万,経験あり,広告,3,0,133,資産形成,~2000万,半年以内,8,69,1,詳細,0,0,0,1
A420,30代,東京都内,800万~1200万,経験なし,セミナー,1,0,156,家賃収入,5000万~,未定/情報収集,1,66,1,基本,0,0,0,0
A421,50代以上,関東近郊,1200万~2000万,経験なし,紹介,1,0,47,税金対策,3000万~5000万,未定/情報収集,6,24,1,詳細,0,0,0,0
A422,30代,東京都内,500万~800万,経験なし,セミナー,5,0,152,家賃収入,2000万~3000万,1年以内,1,58,1,普通,0,0,0,0
A423,50代以上,東京都内,800万~1200万,経験あり,紹介,4,0,76,年金対策,2000万~3000万,未定/情報収集,7,45,0,普通,0,0,0,0
A424,50代以上,東京都内,800万~1200万,経験なし,広告,2,0,123,家賃収入,2000万~3000万,半年以内,9,40,0,普通,0,0,0,0
A425,50代以上,関東近郊,500万~800万,経験なし,Web資料請求,3,0,180,家賃収入,2000万~3000万,未定/情報収集,0,49,0,詳細,0,1,0,0
A426,30代,その他地方,~500万,経験あり,紹介,3,0,171,資産形成,3000万~5000万,半年以内,8,24,1,普通,0,0,0,1
A427,40代,その他地方,800万~1200万,経験なし,広告,1,1,108,資産形成,3000万~5000万,未定/情報収集,3,56,0,普通,0,1,0,0
A428,40代,東京都内,800万~1200万,経験あり,広告,5,0,59,年金対策,5000万~,1年以内,9,24,0,普通,0,0,0,1
A429,30代,東京都内,1200万~2000万,経験なし,紹介,1,1,161,税金対策,3000万~5000万,半年以内,0,63,0,詳細,0,0,0,1
A430,30代,関東近郊,800万~1200万,経験あり,広告,5,0,38,家賃収入,5000万~,半年以内,3,38,0,普通,0,0,0,0
A431,40代,東京都内,800万~1200万,経験あり,セミナー,1,1,108,家賃収入,2000万~3000万,半年以内,8,14,0,基本,0,1,0,1
A432,40代,東京都内,1200万~2000万,経験なし,Web資料請求,1,0,22,資産形成,2000万~3000万,3ヶ月以内,2,3,0,普通,0,0,0,0
A433,50代以上,東京都内,500万~800万,経験あり,セミナー,2,0,100,資産形成,~2000万,1年以内,7,6,1,詳細,0,0,0,0
A434,40代,東京都内,500万~800万,経験なし,広告,4,1,96,資産形成,2000万~3000万,半年以内,5,80,1,普通,0,1,0,0
A435,30代,東京都内,800万~1200万,経験あり,セミナー,3,0,81,税金対策,~2000万,半年以内,2,72,1,普通,0,1,0,1
A436,40代,東京都内,800万~1200万,経験なし,広告,2,0,51,その他,~2000万,半年以内,4,23,0,普通,0,0,0,0
A437,40代,東京都内,500万~800万,経験なし,セミナー,2,0,180,家賃収入,~2000万,1年以内,2,15,1,詳細,0,0,0,0
A438,40代,関東近郊,1200万~2000万,経験あり,紹介,5,1,58,税金対策,2000万~3000万,1年以内,1,34,0,普通,0,1,0,0
A439,30代,東京都内,2000万~,経験なし,広告,2,0,76,家賃収入,3000万~5000万,半年以内,10,62,0,普通,0,1,0,1
A440,30代,東京都内,1200万~2000万,経験なし,Web資料請求,2,0,114,資産形成,3000万~5000万,3ヶ月以内,1,28,0,基本,0,0,0,0
A441,40代,関東近郊,800万~1200万,経験なし,広告,2,0,146,年金対策,5000万~,未定/情報収集,1,20,0,基本,1,1,0,0
A442,30代,東京都内,500万~800万,経験なし,広告,4,0,14,資産形成,2000万~3000万,未定/情報収集,3,14,0,基本,0,0,1,0
A443,40代,東京都内,800万~1200万,経験あり,紹介,2,0,124,家賃収入,3000万~5000万,未定/情報収集,6,56,1,普通,0,1,0,1
A444,50代以上,関東近郊,500万~800万,経験あり,広告,1,1,127,税金対策,5000万~,未定/情報収集,9,42,1,普通,0,1,0,1
A445,50代以上,東京都内,1200万~2000万,経験あり,広告,3,0,100,資産形成,2000万~3000万,未定/情報収集,9,57,1,詳細,0,0,0,1
A446,50代以上,東京都内,800万~1200万,経験あり,紹介,5,1,89,年金対策,5000万~,1年以内,1,23,0,詳細,0,0,0,1
A447,40代,その他地方,800万~1200万,経験あり,Web資料請求,2,0,86,資産形成,~2000万,3ヶ月以内,1,35,0,基本,0,1,0,0
A448,50代以上,東京都内,800万~1200万,経験なし,Web資料請求,1,0,93,家賃収入,~2000万,半年以内,8,75,1,詳細,0,0,0,0
A449,50代以上,関東近郊,500万~800万,経験なし,Web資料請求,3,1,104,資産形成,2000万~3000万,1年以内,5,68,1,詳細,0,0,0,0
A450,30代,関東近郊,800万~1200万,経験あり,広告,4,0,98,家賃収入,3000万~5000万,未定/情報収集,5,14,1,普通,0,0,0,0
A451,50代以上,東京都内,800万~1200万,経験なし,セミナー,5,0,1,税金対策,2000万~3000万,1年以内,2,0,1,普通,0,0,0,1
A452,20代,関東近郊,800万~1200万,経験あり,Web資料請求,2,1,160,家賃収入,5000万~,1年以内,9,14,0,基本,1,1,0,1
A453,30代,東京都内,500万~800万,経験なし,Web資料請求,4,1,47,資産形成,5000万~,半年以内,3,47,0,基本,0,1,0,1
A454,30代,関東近郊,2000万~,経験なし,広告,5,0,157,家賃収入,3000万~5000万,1年以内,2,43,1,普通,0,0,0,1
A455,30代,東京都内,2000万~,経験なし,セミナー,1,0,173,資産形成,3000万~5000万,半年以内,3,14,1,基本,0,0,0,0
A456,20代,東京都内,1200万~2000万,経験なし,広告,5,0,79,家賃収入,~2000万,半年以内,0,11,0,詳細,0,1,0,0
A457,40代,東京都内,500万~800万,経験なし,紹介,1,0,120,資産形成,2000万~3000万,半年以内,1,81,0,普通,0,0,0,0
A458,50代以上,東京都内,500万~800万,経験なし,Web資料請求,4,1,142,資産形成,3000万~5000万,1年以内,2,40,1,普通,0,0,0,0
A459,50代以上,その他地方,1200万~2000万,経験あり,広告,1,0,34,年金対策,5000万~,1年以内,8,4,0,詳細,0,1,0,0
A460,20代,その他地方,500万~800万,経験なし,紹介,1,0,13,資産形成,3000万~5000万,1年以内,4,2,0,基本,0,0,0,0
A461,40代,東京都内,~500万,経験なし,広告,4,0,20,家賃収入,2000万~3000万,1年以内,2,14,1,基本,0,0,0,0
A462,40代,関東近郊,2000万~,経験あり,広告,3,0,127,税金対策,2000万~3000万,1年以内,6,40,1,普通,0,0,0,0
A463,40代,関東近郊,800万~1200万,経験あり,セミナー,1,0,174,資産形成,3000万~5000万,1年以内,8,63,0,詳細,0,0,0,0
A464,50代以上,東京都内,800万~1200万,経験あり,Web資料請求,2,0,137,家賃収入,5000万~,半年以内,9,82,1,普通,0,1,0,1
A465,40代,東京都内,1200万~2000万,経験あり,広告,4,1,104,年金対策,3000万~5000万,3ヶ月以内,2,5,1,普通,0,0,0,1
A466,50代以上,その他地方,800万~1200万,経験なし,Web資料請求,2,1,119,年金対策,~2000万,未定/情報収集,1,7,0,普通,0,0,0,0
A467,40代,関東近郊,2000万~,経験あり,セミナー,3,0,97,年金対策,2000万~3000万,半年以内,6,15,0,詳細,0,1,0,1
A468,40代,東京都内,500万~800万,経験なし,Web資料請求,1,0,12,その他,3000万~5000万,3ヶ月以内,6,8,1,基本,0,0,1,1
A469,50代以上,関東近郊,500万~800万,経験なし,紹介,3,0,134,資産形成,2000万~3000万,1年以内,9,41,1,普通,0,0,0,1
A470,50代以上,東京都内,800万~1200万,経験なし,Web資料請求,4,1,174,資産形成,~2000万,半年以内,6,78,1,基本,0,0,0,0
A471,40代,東京都内,800万~1200万,経験なし,紹介,1,0,25,その他,~2000万,未定/情報収集,3,9,0,詳細,0,0,0,1
A472,40代,東京都内,~500万,経験あり,広告,2,0,110,税金対策,2000万~3000万,半年以内,7,49,1,普通,0,1,0,0
A473,30代,東京都内,800万~1200万,経験なし,Web資料請求,3,0,126,資産形成,2000万~3000万,未定/情報収集,3,20,0,基本,0,1,0,0
A474,50代以上,その他地方,~500万,経験なし,Web資料請求,5,0,23,資産形成,3000万~5000万,未定/情報収集,6,15,0,詳細,0,1,0,0
A475,40代,東京都内,800万~1200万,経験あり,紹介,1,0,170,資産形成,3000万~5000万,1年以内,10,31,0,基本,0,1,0,1
A476,50代以上,その他地方,800万~1200万,経験あり,セミナー,1,0,54,税金対策,2000万~3000万,未定/情報収集,4,44,0,普通,0,1,1,0
A477,40代,関東近郊,800万~1200万,経験あり,広告,5,0,125,税金対策,~2000万,半年以内,0,43,0,詳細,1,0,0,1
A478,40代,関東近郊,1200万~2000万,経験あり,Web資料請求,1,0,53,資産形成,3000万~5000万,1年以内,6,13,1,普通,0,0,0,0
A479,30代,東京都内,500万~800万,経験なし,広告,4,0,136,税金対策,3000万~5000万,3ヶ月以内,3,14,1,普通,0,1,0,0
A480,40代,関東近郊,800万~1200万,経験なし,広告,2,1,47,税金対策,5000万~,3ヶ月以内,3,25,0,普通,0,0,1,0
A481,50代以上,東京都内,1200万~2000万,経験なし,Web資料請求,2,1,2,資産形成,5000万~,1年以内,7,1,0,基本,0,1,0,1
A482,30代,関東近郊,800万~1200万,経験あり,Web資料請求,5,0,111,税金対策,~2000万,半年以内,4,69,0,詳細,0,0,1,1
A483,40代,東京都内,2000万~,経験あり,セミナー,2,1,166,税金対策,3000万~5000万,1年以内,1,9,0,基本,0,1,0,0
A484,40代,東京都内,500万~800万,経験なし,広告,1,1,94,資産形成,3000万~5000万,3ヶ月以内,5,47,1,詳細,1,0,0,1
A485,40代,関東近郊,~500万,経験なし,Web資料請求,2,0,172,税金対策,5000万~,1年以内,0,84,0,詳細,0,0,0,0
A486,40代,東京都内,500万~800万,経験あり,セミナー,1,0,122,税金対策,2000万~3000万,半年以内,1,71,1,普通,0,1,0,0
A487,50代以上,東京都内,2000万~,経験あり,セミナー,2,0,53,家賃収入,3000万~5000万,未定/情報収集,10,40,1,詳細,0,0,0,1
A488,40代,東京都内,500万~800万,経験あり,広告,3,1,175,資産形成,2000万~3000万,3ヶ月以内,5,47,0,普通,0,0,0,0
A489,30代,東京都内,~500万,経験あり,セミナー,5,0,32,家賃収入,3000万~5000万,未定/情報収集,3,29,1,普通,0,1,0,1
A490,30代,関東近郊,800万~1200万,経験あり,セミナー,1,0,76,資産形成,3000万~5000万,未定/情報収集,2,34,1,詳細,0,1,0,0
A491,30代,関東近郊,800万~1200万,経験なし,Web資料請求,2,0,51,家賃収入,~2000万,1年以内,10,30,1,詳細,0,1,0,0
A492,40代,東京都内,1200万~2000万,経験なし,セミナー,5,1,62,税金対策,~2000万,1年以内,6,29,0,普通,0,1,0,1
A493,30代,関東近郊,800万~1200万,経験なし,セミナー,1,0,23,資産形成,~2000万,1年以内,6,5,0,基本,0,1,0,0
A494,30代,東京都内,500万~800万,経験なし,セミナー,5,0,33,年金対策,~2000万,3ヶ月以内,3,12,0,普通,0,1,0,0
A495,40代,東京都内,800万~1200万,経験なし,広告,2,0,40,その他,~2000万,未定/情報収集,8,24,0,基本,0,0,0,0
A496,50代以上,東京都内,1200万~2000万,経験あり,Web資料請求,3,1,98,年金対策,~2000万,1年以内,2,13,0,基本,0,1,0,0
A497,40代,東京都内,800万~1200万,経験なし,Web資料請求,3,0,167,年金対策,3000万~5000万,未定/情報収集,0,86,1,詳細,0,0,0,0
